"Dato/klokkeslett","Gjennomsnittsforbruk strøm (kWh/100 km)","Kjørestrekning (km)","Kjøretid","Gjennomsnittshastighet (km/t)"
"2020-06-13T22:55:16+02:00","27,7","4","0:11","24"
"2020-06-12T22:17:24+02:00","27,8","13","0:35","24"
"2020-06-12T15:19:38+02:00","28,3","3","0:08","28"
"2020-06-12T08:16:10+02:00","31,0","3","0:09","25"
"2020-06-11T15:21:33+02:00","30,7","3","0:12","19"
"2020-06-11T08:06:10+02:00","29,3","3","0:08","26"
"2020-06-10T20:41:37+02:00","27,0","24","0:51","29"
"2020-06-10T15:13:27+02:00","29,3","3","0:08","27"
"2020-06-10T08:18:28+02:00","32,0","3","0:08","27"
"2020-06-09T18:00:36+02:00","30,8","12","0:30","25"
"2020-06-09T08:15:32+02:00","30,8","3","0:09","23"
"2020-06-08T18:00:36+02:00","29,7","25","0:52","30"
"2020-06-08T08:17:19+02:00","40,1","3","0:11","20"
"2020-06-06T19:04:20+02:00","27,5","32","0:48","40"
"2020-06-05T20:02:54+02:00","27,9","14","0:32","26"
"2020-06-05T08:13:05+02:00","31,8","3","0:09","24"
"2020-06-04T14:36:48+02:00","28,6","3","0:07","29"
"2020-06-04T08:17:47+02:00","33,6","3","0:09","25"
"2020-06-03T21:03:27+02:00","29,4","19","0:33","35"
"2020-06-03T15:19:06+02:00","31,7","3","0:08","27"
"2020-06-03T08:13:39+02:00","32,0","3","0:10","22"
"2020-06-02T19:50:05+02:00","28,9","12","0:16","47"
"2020-06-02T14:35:34+02:00","26,8","3","0:08","26"
"2020-06-02T08:16:10+02:00","32,0","3","0:10","22"
"2020-06-01T19:26:59+02:00","18,6","139","2:04","67"
"2020-05-31T19:04:02+02:00","25,6","56","1:05","53"
"2020-05-31T11:27:14+02:00","23,5","56","0:58","58"
"2020-05-29T20:43:28+02:00","27,0","139","2:02","69"
"2020-05-29T16:48:59+02:00","28,3","13","0:22","36"
"2020-05-29T13:36:39+02:00","34,0","3","0:08","28"
